dominant_freq,mean_freq,band_energy_0_50Hz,spectral_entropy,frequency_centroid,flatness,label
39.06,458286.391947727,4941720.457959105,9.9891260662345,458286.39194772695,0.9318748813755862,side
39.06,410392.71593589085,4874654.111011497,9.872010082740006,410392.7159358908,0.8696246120902511,side
39.06,396443.3039559707,4763431.524784088,9.813577535279453,396443.3039559707,0.839820612355042,side
39.06,430292.2189515597,4884352.1031001955,9.864439727244742,430292.2189515597,0.8747074566277961,side
39.06,447832.1134542676,4892451.110628741,9.951215191763986,447832.11345426756,0.9156123919205075,side
39.06,438049.5230957014,4862351.08206112,9.880165176668203,438049.5230957014,0.886421078989431,side
39.06,435641.7115664081,4866476.0971873365,9.897819072825357,435641.71156640805,0.886535835051538,side
39.06,441822.6108100235,4896250.697215747,9.943543271187377,441822.6108100235,0.9100224656600298,side
39.06,444453.7680405608,4902592.93263189,9.946668169563791,444453.76804056077,0.9121315965277895,side
39.06,385704.8030064995,4858298.667682948,9.802562263285024,385704.8030064995,0.8291696449604581,side
39.06,437541.67414437333,4855863.268582441,9.933074098358453,437541.67414437333,0.901158923570765,side
39.06,439812.6504501619,4883636.274643128,9.936986795847027,439812.65045016183,0.9035796093043796,side
39.06,432455.18693653867,4858089.960499026,9.884469586512102,432455.1869365387,0.8797618956878506,side
39.06,434367.32018549426,4700429.525056225,9.900986880748778,434367.32018549426,0.8902875148938438,side
39.06,430678.89785523753,4889205.389420667,9.88088038791035,430678.8978552376,0.885056387275671,side
39.06,404798.06614050805,4875683.943521549,9.816964166822757,404798.066140508,0.8443632808160966,side
39.06,369981.21172558295,4746154.437411122,9.724965958269243,369981.21172558295,0.7894896087823424,side
39.06,375979.4871569151,4752261.874989571,9.759205735119854,375979.48715691513,0.8138000563153225,side
39.06,426968.67928405316,4807171.126510464,9.854765428573526,426968.6792840531,0.8734181009774211,side
39.06,391075.51596202026,4875167.804862111,9.741798650039112,391075.51596202026,0.8130964986974195,side
39.06,361413.0300997414,4608357.46785928,9.64273758010831,361413.0300997414,0.7534381698593151,side
78.12,420044.2625667472,4921195.641445808,9.788500363961253,420044.2625667472,0.8801038397034819,side
39.06,367028.8101469131,4768908.5016904725,9.633459408654215,367028.8101469131,0.7695891345496644,side
39.06,362871.9968125888,4816420.275487391,9.61365707241065,362871.9968125888,0.7643536438320532,side
78.12,398594.8023605716,4940754.628918086,9.638494763056228,398594.80236057163,0.83721352233463,side
39.06,350653.20775967767,4636841.208567452,9.598334742160128,350653.20775967767,0.7373929037511365,side
39.06,365254.76036889,4739892.721211873,9.658563407220864,365254.76036889,0.7692788362203293,side
39.06,376721.0355385277,4870704.815028582,9.66395555492546,376721.03553852765,0.7784594449284408,side
39.06,382491.9690951983,4782319.093050481,9.659214405239778,382491.9690951983,0.7728892571505581,side
39.06,391018.38914529886,4665684.956645738,9.738464717194526,391018.3891452989,0.8103308350440718,side
39.06,407114.12594869494,4806402.580881174,9.805877589154939,407114.12594869494,0.8404820363630773,side
39.06,408736.7179333438,4855895.692029814,9.83283813849342,408736.71793334384,0.8487219417625269,side
39.06,409189.29295947024,4877757.702682208,9.818171093074715,409189.2929594702,0.8421786453341018,side
39.06,387892.150019168,4801525.971846981,9.80666233471395,387892.150019168,0.830150075050579,side
39.06,423180.0979313778,4868657.240492659,9.818633215790703,423180.0979313778,0.8575437626503761,side
39.06,450007.3189499481,4926936.5139400195,9.951501550674339,450007.31894994806,0.9133124371542387,side
39.06,452504.4629316642,4887277.823344562,9.9630032059714,452504.4629316642,0.9171728531155351,side
39.06,443128.90146876633,4841849.0141135035,9.95686968189889,443128.9014687662,0.9102838409973861,side
39.06,401382.7456341671,4816496.34439802,9.84143089793583,401382.74563416705,0.849555690429771,side
39.06,461966.6543435474,4857064.208728019,10.011035886330744,461966.6543435475,0.9423126716547675,side
39.06,447080.2748513579,4847210.23415603,9.947359820686083,447080.2748513579,0.9131854984098233,side
39.06,445403.2058820392,4875893.555947219,9.948772165289812,445403.20588203927,0.910466551681398,side
39.06,420800.4599786958,4848028.029804477,9.827429563693542,420800.4599786957,0.8611004070770545,side
39.06,445288.74429704866,4861228.352571972,9.946354107850002,445288.7442970486,0.9123697166820548,side
39.06,437039.1597364635,4864531.144208912,9.923180258123084,437039.1597364635,0.8938326733300718,side
39.06,431347.9805099607,4793552.1915514115,9.870536866971166,431347.9805099607,0.8693801581944861,side
39.06,439618.7533947973,4841391.323676796,9.91316195909467,439618.7533947973,0.9039831620589839,side
39.06,420357.8462132466,4811012.723246656,9.838817304433604,420357.8462132466,0.857218369639999,side
39.06,409915.2127879687,4803941.273856763,9.79678223143888,409915.21278796863,0.8457876252521831,side
39.06,394093.75232607155,4765122.58097736,9.7220823199543,394093.75232607167,0.8109278944306801,side
39.06,367630.23368669185,4697959.775904155,9.64176552031259,367630.2336866918,0.7630270848313188,side
78.12,404221.64841436094,4938087.939123931,9.69655167749354,404221.64841436094,0.8517976704800573,side
39.06,355185.6917278829,4776243.020441011,9.598101869215029,355185.69172788295,0.7419284387840077,side
39.06,374705.0292442385,4769232.966657918,9.694619849943283,374705.02924423857,0.7849263094365785,side
39.06,364830.23418236047,4552298.462304265,9.637872658693531,364830.2341823604,0.7611013606514232,side
39.06,372269.288164331,4773186.288662176,9.660926553571176,372269.28816433094,0.7728343812936552,side
39.06,369141.5860167999,4851091.226931918,9.707442542006156,369141.58601679996,0.7777866762586279,side
